"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"08000","Colorado","7","CA1","2","...","Population (persons) 1/",2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048196,5118400,5189458,5268367
"08000","Colorado","7","CA1","3","...","Per capita personal income (dollars) 2/",3861,4248,4625,5014,5519,6072,6576,7107,7741,8702,9700,10885,12241,13058,13711,14793,15444,15910,16395,17337,18679,19604,20278,21369,22394,23411,24763,26072,27369,29716,31387,34227,35230,34748,35182,36421,38390,40611,42174,43377,41518,41689,44183,46315,46897
"08998","Colorado (Metropolitan Portion)","7","CA1","1","...","Personal income (thousands of dollars)",7245329,8202222,9269009,10501117,11926225,13310126,14718509,16245111,18151958,21035593,24076176,27466531,31716781,34926571,37540546,41152810,43688459,45513574,47274372,49943032,54042374,57144197,60617502,65822004,71215194,76736032,83386824,89965464,96794913,107694188,116960206,131250293,138199881,138219556,140801122,147055976,156810365,169128840,178179641,186262857,181865804,185825497,199821572,212682207,218619934
"08998","Colorado (Metropolitan Portion)","7","CA1","2","...","Population (persons) 1/",1802514,1854207,1924438,2016059,2101870,2140537,2170989,2208820,2266952,2334610,2404812,2454741,2515617,2586100,2651787,2690681,2732498,2764937,2790500,2791566,2803240,2830766,2899582,2997197,3096510,3186593,3268792,3346032,3429707,3514140,3610031,3700292,3792364,3848520,3883082,3926055,3978782,4059076,4133963,4210469,4284191,4360830,4432037,4503782,4580621
"08998","Colorado (Metropolitan Portion)","7","CA1","3","...","Per capita personal income (dollars) 2/",4020,4424,4816,5209,5674,6218,6780,7355,8007,9010,10012,11189,12608,13505,14157,15295,15988,16461,16941,17891,19279,20187,20906,21961,22999,24081,25510,26887,28223,30646,32399,35470,36442,35915,36260,37456,39412,41667,43101,44238,42450,42612,45086,47223,47727
"08999","Colorado (Nonmetropolitan Portion)","7","CA1","1","...","Personal income (thousands of dollars)",1117288,1245499,1385043,1555431,1848391,2120961,2289016,2462557,2716509,3039143,3561399,4194712,4736526,5051718,5423165,5740987,5867444,5993243,6182143,6613731,7146538,7699401,8065809,8881053,9708960,10451580,11372498,12236912,13180032,14633884,15683920,16848402,17718521,17812037,18529097,19568954,21008164,22570522,24418940,25838867,24571817,24628603,26323085,27667496,28448837
"08999","Colorado (Nonmetropolitan Portion)","7","CA1","2","...","Population (persons) 1/",363486,369772,379064,388517,393933,400781,415155,423424,429055,432115,444369,454062,462282,475462,481847,479314,476228,472511,469977,470714,472575,476852,487537,498742,517224,537575,557861,573940,588586,602499,615987,626629,633323,641886,645650,648958,653106,661347,669905,679261,688004,687366,686363,685676,687746
"08999","Colorado (Nonmetropolitan Portion)","7","CA1","3","...","Per capita personal income (dollars) 2/",3074,3368,3654,4004,4692,5292,5514,5816,6331,7033,8015,9238,10246,10625,11255,11978,12321,12684,13154,14050,15123,16146,16544,17807,18771,19442,20386,21321,22393,24289,25461,26887,27977,27750,28698,30154,32167,34128,36451,38040,35715,35830,38352,40351,41365
"09000","Connecticut","1","CA1","1","...","Personal income (thousands of dollars)",14693141,15678607,16511886,17800682,19365980,21132528,22706406,24496860,26996993,30059857,33790984,38451011,43167308,46611050,49854453,55852197,59947338,64556631,70591445,77848044,84513744,86955823,87583062,94245958,97497237,100048150,105415237,110544115,117901260,126345516,132576015,143970764,149967094,149466188,152484082,163013099,171249032,184711831,196174409,198836094,191522258,197630202,206533081,216308449,218131742
"09000","Connecticut","1","CA1","2","...","Population (persons) 1/",3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579210,3588948,3591765,3596080
